kind,title,htmlTitle,link,displayLink,snippet,htmlSnippet,formattedUrl,htmlFormattedUrl,pagemap.metatags,pagemap.cse_thumbnail,pagemap.cse_image,pagemap.hcard,pagemap.QAPage,pagemap.audioobject,pagemap.listitem,pagemap.BreadcrumbList,pagemap.sitenavigationelement,pagemap.xfn
customsearch#result,"Capital of France - Simple English Wikipedia, the free encyclopedia","<b>Capital of France</b> - Simple English Wikipedia, the free encyclopedia",https://simple.wikipedia.org/wiki/Capital_of_France,simple.wikipedia.org,"This article is about the French national capital in general. For the current capital, see Paris. The capital of France is Paris. In the course of history, ...","This article is about the French national capital in general. For the current capital, see Paris. The <b>capital of France</b> is Paris. In the course of history,&nbsp;...",https://simple.wikipedia.org/wiki/Capital_of_France,https://simple.wikipedia.org/wiki/<b>Capital_of_France</b>,"[{'referrer': 'origin', 'theme-color': '#eaecf0', 'og:type': 'website', 'viewport': 'width=device-width, initial-scale=1.0, user-scalable=yes, minimum-scale=0.25, maximum-scale=5.0', 'og:title': 'Capital of France - Simple English Wikipedia, the free encyclopedia', 'format-detection': 'telephone=no'}]",,,,,,,,,
customsearch#result,"Dijon, Capital of Burgundy - Tourist Office Dijon Métropole","Dijon, <b>Capital</b> of Burgundy - Tourist Office Dijon Métropole",https://en.destinationdijon.com/destination/best-of/dijon-capital-of-burgundy/,en.destinationdijon.com,"Dijon, the capital of the great region of Bourgogne-Franche-Comté in the eastern central part of France, is the ultimate cultural destination.","Dijon, the <b>capital</b> of the great region of Bourgogne-Franche-Comté in the eastern central part of <b>France</b>, is the ultimate cultural destination.",https://en.destinationdijon.com/destination/best.../dijon-capital-of-burgundy...,https://en.destinationdijon.com/destination/best.../dijon-<b>capital</b>-of-burgundy...,"[{'msapplication-tilecolor': '#da532c', 'og:image': 'https://en.destinationdijon.com/wp-content/uploads/sites/2/2019/04/maxence-place-de-la-liberation-jet-eau.jpg', 'theme-color': '#ffffff', 'og:type': 'article', 'og:image:width': '1080', 'twitter:card': 'summary_large_image', 'og:site_name': 'Tourist Office Dijon Métropole', 'og:title': 'Dijon, Capital of Burgundy - Tourist Office Dijon Métropole', 'og:image:height': '1168', 'twitter:label1': 'Est. reading time', 'og:description': 'Come and discover the historical centre of Dijon, classified by Unesco, the Palace of the Dukes of Burgundy and the international gastronomy and wine centre.', 'article:publisher': 'https://www.facebook.com/otdijon', 'twitter:data1': '4 minutes', 'twitter:site': '@VisitDijon', 'article:modified_time': '2022-07-18T12:24:49+00:00', 'viewport': 'width=device-width, initial-scale=1.0, minimum-scale=1.0, maximum-scale=1.0, user-scalable=no', 'og:locale': 'en_US', 'og:url': 'https://en.destinationdijon.com/destination/best-of/dijon-capital-of-burgundy/'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSF6JKjkDreb9NiqfazYAaYPse3vjMk_bHaPUW3Hnz2uMzeEio8tJ2MgMgg&s', 'width': '216', 'height': '233'}]",[{'src': 'https://en.destinationdijon.com/wp-content/uploads/sites/2/2019/04/maxence-place-de-la-liberation-jet-eau.jpg'}],,,,,,,
customsearch#result,Overview of France - Welcome to France,Overview of <b>France</b> - Welcome to <b>France</b>,https://www.welcometofrance.com/en/fiche/overview-of-france,www.welcometofrance.com,"Dec 17, 2019 ... France – Key figures: · Surface area: 633,186 sq. km. · Population 66.6 million · Capital city: Paris · Official language: French · Currency: Euro ( ...","Dec 17, 2019 <b>...</b> <b>France</b> – Key figures: &middot; Surface area: 633,186 sq. km. &middot; Population 66.6 million &middot; <b>Capital</b> city: Paris &middot; Official language: French &middot; Currency: Euro (&nbsp;...",https://www.welcometofrance.com/en/fiche/overview-of-france,https://www.welcometo<b>france</b>.com/en/fiche/overview-of-<b>france</b>,"[{'og:type': 'article', 'twitter:card': 'summary_large_image', 'og:site_name': 'Welcome to France', 'article:modified_time': '2024-12-16T14:39:15+00:00', 'viewport': 'width=device-width, initial-scale=1', 'og:title': 'Overview of France - Welcome to France', 'og:locale': 'en_US', 'og:url': 'https://www.welcometofrance.com/en/fiche/overview-of-france', 'msapplication-tileimage': 'https://www.welcometofrance.com/app/uploads/BF_BIMI.svg', 'og:description': 'Discover the latest information about Overview of France on Welcome to France website numerous sheets dedicated to foreign talents wishing to settle in France'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSK_OEtKcJu5faWOuhv7AdiEwg5d_e8F4qc0HSexbYb07ZiL9t9mdfoDtn&s', 'width': '252', 'height': '200'}]",[{'src': 'https://www.welcometofrance.com/app/uploads/2019/12/Carte-France-region-2-1.jpeg'}],,,,,,,
customsearch#result,"Paris | Definition, Map, Population, Facts, & History | Britannica","Paris | Definition, Map, Population, Facts, &amp; History | Britannica",https://www.britannica.com/place/Paris,www.britannica.com,"Paris, city and capital of France, located along the Seine River, in the north-central part of the country. Paris is one of the world's most important and ...","Paris, city and <b>capital of France</b>, located along the Seine River, in the north-central part of the country. Paris is one of the world&#39;s most important and&nbsp;...",https://www.britannica.com/place/Paris,https://www.britannica.com/place/Paris,"[{'og:image': 'https://cdn.britannica.com/36/135436-050-ED1D0FCE/skyline-Eiffel-Tower-France-Paris.jpg', 'twitter:card': 'summary_large_image', 'og:type': 'ARTICLE', 'og:site_name': 'Encyclopedia Britannica', 'og:title': 'Paris | Definition, Map, Population, Facts, & History | Britannica', 'og:image:type': 'image/jpeg', 'og:description': 'Paris, city and capital of France, located along the Seine River, in the north-central part of the country.  Paris is one of the world’s most important and attractive cities, famed for its gastronomy, haute couture, painting, literature, and intellectual community. Learn more about Paris in this article.', 'twitter:image': 'https://cdn.britannica.com/36/135436-050-ED1D0FCE/skyline-Eiffel-Tower-France-Paris.jpg', 'last-modified': '2025-06-27', 'fb:app_id': '1887621861548296', 'twitter:site': '@britannica', 'viewport': 'width=device-width, initial-scale=1.0', 'twitter:description': 'Paris, city and capital of France, located along the Seine River, in the north-central part of the country.  Paris is one of the world’s most important and attractive cities, famed for its gastronomy, haute couture, painting, literature, and intellectual community. Learn more about Paris in this article.', 'og:url': 'https://www.britannica.com/place/Paris'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHSATddaSrnqsYheQbO02hO62AV4ogeeJmRzH9K5cPoxXS1dfjl1-Gcw9p&s', 'width': '274', 'height': '184'}]",[{'src': 'https://cdn.britannica.com/36/135436-050-ED1D0FCE/skyline-Eiffel-Tower-France-Paris.jpg'}],,,,,,,
customsearch#result,80 Years Ago This Town Was The Capital of France For One Day ...,80 Years Ago This Town Was The <b>Capital of France</b> For One Day ...,https://www.deepheartoffrance.com/historic-newspapers-clermont-ferrand-capital-of-france-2/,www.deepheartoffrance.com,"Jun 19, 2020 ... For one remarkable day in 1940, Clermont-Ferrand was the capital of France…and it wasn't even the strangest day of the month for the people ...","Jun 19, 2020 <b>...</b> For one remarkable day in 1940, Clermont-Ferrand was the <b>capital of France</b>…and it wasn&#39;t even the strangest day of the month for the people&nbsp;...",https://www.deepheartoffrance.com/historic-newspapers-clermont-ferrand-c...,https://www.deepheartof<b>france</b>.com/historic-newspapers-clermont-ferrand-<b>c</b>...,"[{'og:image': 'https://www.DeepHeartOfFrance.com/wp-content/uploads/2016/07/ddf8e65dc75ffbd78cd9021b5e31e338.jpg', 'og:type': 'article', 'article:published_time': '2020-06-19T17:57:22+00:00', 'og:image:width': '736', 'twitter:card': 'summary_large_image', 'og:site_name': 'Deep Heart of France', 'author': 'Richard Alexander', 'og:title': '80 Years Ago This Town Was The Capital of France For One Day - Deep Heart of France', 'og:image:height': '445', 'twitter:label1': 'Written by', 'twitter:label2': 'Est. reading time', 'og:image:type': 'image/jpeg', 'og:description': 'For one remarkable day in 1940, Clermont-Ferrand was the capital of France…and it wasn’t even the strangest day of the month for the people who lived there.', 'twitter:creator': '@deepfrance', 'twitter:data1': 'Richard Alexander', 'twitter:data2': '11 minutes', 'twitter:site': '@deepfrance', 'article:modified_time': '2025-03-17T10:57:47+00:00', 'viewport': 'width=device-width, initial-scale=1', 'og:locale': 'en_US', 'og:url': 'https://www.DeepHeartOfFrance.com/historic-newspapers-clermont-ferrand-capital-of-france-2/'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfs3ghEalnPeWxMWqgUy1HZ03pnd5_-mgU1UDkMJcZLq5wkY4mCq8i0Xw&s', 'width': '289', 'height': '174'}]",[{'src': 'https://www.deepheartoffrance.com/wp-content/uploads/2016/07/ddf8e65dc75ffbd78cd9021b5e31e338.jpg'}],"[{'fn': 'Elizabeth Hunt', 'photo': 'https://secure.gravatar.com/avatar/4dadb910b03ec7eeb5bc84245aa30085206522b039dfcc7f0bc86a56cc0fc3bf?s=60&d=mm&r=g'}, {'fn': 'Richard Alexander', 'photo': 'https://secure.gravatar.com/avatar/5f98461d74171f24c7b2f4ebc3162529b936dae15ef1020d3c68660c8bb26e02?s=60&d=mm&r=g'}, {'url_text': 'Alison Wale', 'fn': 'Alison Wale', 'photo': 'https://secure.gravatar.com/avatar/e6432511633198393d61645675ecafa3578ac6685e3c1f227442654061cd2abf?s=60&d=mm&r=g', 'url': 'http://fatdormouse.wordpress.com/'}, {'fn': 'Richard Alexander', 'photo': 'https://secure.gravatar.com/avatar/5f98461d74171f24c7b2f4ebc3162529b936dae15ef1020d3c68660c8bb26e02?s=60&d=mm&r=g'}, {'url_text': 'fatdormouse', 'fn': 'fatdormouse', 'nickname': 'fatdormouse', 'photo': 'https://secure.gravatar.com/avatar/e6432511633198393d61645675ecafa3578ac6685e3c1f227442654061cd2abf?s=60&d=mm&r=g', 'url': 'http://atemporaryview.wordpress.com/'}, {'fn': 'Michael Fanning', 'photo': 'https://secure.gravatar.com/avatar/145833454e6934c1a3aaa1bda2204fdd66c067ba1867ecef63a3931ffb0407fb?s=60&d=mm&r=g'}, {'url_text': 'wheatypetesworld', 'fn': 'wheatypetesworld', 'nickname': 'wheatypetesworld', 'photo': 'https://secure.gravatar.com/avatar/9ce82b801eb0674a7468a65a2a06d0dccd98805819c1058cb6e3aa8a44259bf5?s=60&d=mm&r=g', 'url': 'http://wheatypetesworld.wordpress.com/'}, {'url_text': 'Kenneth E Fields', 'fn': 'Kenneth E Fields', 'photo': 'https://secure.gravatar.com/avatar/d080a6460da9d7de6a7e175947da36edabef062f79f17d7387aaf026bc87f1d2?s=60&d=mm&r=g', 'url': 'https://kennethefields.wordpress.com/'}, {'fn': 'Richard Alexander', 'photo': 'https://secure.gravatar.com/avatar/5f98461d74171f24c7b2f4ebc3162529b936dae15ef1020d3c68660c8bb26e02?s=60&d=mm&r=g'}, {'fn': 'Joanne Bransdon', 'photo': 'https://secure.gravatar.com/avatar/d84d801ef00e93441f3697e7e8c43e2a4c3f6c68c732e3300b215f2e16e9ed84?s=60&d=mm&r=g'}]",,,,,,
customsearch#result,"Why is Paris the capital of France instead of Lyon, which is larger ...","Why is Paris the <b>capital of France</b> instead of Lyon, which is larger ...",https://www.quora.com/Why-is-Paris-the-capital-of-France-instead-of-Lyon-which-is-larger-and-more-centrally-located,www.quora.com,"Sep 26, 2024 ... Paris became capital of France because France evolved from a federation of counties to a kingdom, where the king was living a Paris. The ...","Sep 26, 2024 <b>...</b> Paris became <b>capital of France</b> because France evolved from a federation of counties to a kingdom, where the king was living a Paris. The&nbsp;...",https://www.quora.com/Why-is-Paris-the-capital-of-France-instead-of-Lyon...,https://www.quora.com/Why-is-Paris-the-<b>capital-of-France</b>-instead-of-Lyon...,"[{'al:android:url': 'intent://www.quora.com/Why-is-Paris-the-capital-of-France-instead-of-Lyon-which-is-larger-and-more-centrally-located#Intent;scheme=qhttp;package=com.quora.android;S.market_referrer=launch_url=https%3A%2F%2Fwww.quora.com%2FWhy-is-Paris-the-capital-of-France-instead-of-Lyon-which-is-larger-and-more-centrally-located&logging_data=uid%3DNone;end', 'theme-color': '#b92b27', 'viewport': 'initial-scale=1, maximum-scale=1, user-scalable=no, width=device-width, minimum-scale=1, viewport-fit=cover', 'al:android:package': 'com.quora.android', 'fb:pages': '255232486973', 'twitter:widgets:theme': 'light'}]",,,,[{}],,,,,
customsearch#result,What is the capital of France?,<b>What is the capital of France</b>?,https://byjus.com/question-answer/what-is-the-capital-of-france-lyonbordeauxparismarseille/,byjus.com,Paris is the capital of France. It is the most popular city in France. It is often dubbed as the 'Fashion capital of the World'.,Paris is the <b>capital of France</b>. It is the most popular city in France. It is often dubbed as the &#39;Fashion capital of the World&#39;.,https://byjus.com/.../what-is-the-capital-of-france-lyonbordeauxparismarseil...,https://byjus.com/.../<b>what-is-the-capital-of-france</b>-lyonbordeauxparismarseil...,"[{'og:image': 'https://cdn1.byjus.com/images/fb-share-button-k10-k12.png', 'next-head-count': '27', 'og:image:width': '50', 'viewport': 'width=device-width, initial-scale=1, maximum-scale=1', 'og:title': 'What is the capital of France?', 'og:image:height': '50', 'og:locale': 'en_IN', 'og:image:type': 'image/png', 'title': 'What is the capital of France?', 'og:url': 'https://byjus.com/question-answer/what-is-the-capital-of-france-lyonbordeauxparismarseille/', 'og:description': 'What is the capital of France?'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRxIn7vjhTezRJ4UBMD9cx2EG6TH2aHhDNnAe8MwC2S0Ys1-weEsU7MrOs&s', 'width': '311', 'height': '162'}]",[{'src': 'https://cdn1.byjus.com/images/fb-share-button-k10-k12.png'}],,,,,,,
customsearch#result,Discover the Chocolate Capital of France | National Geographic,Discover the Chocolate <b>Capital of France</b> | National Geographic,https://www.nationalgeographic.com/travel/article/bayonne-france-chocolate-capital,www.nationalgeographic.com,"Jul 20, 2016 ... The sweet scent of chocolate floats on the very breeze in Bayonne. This may surprise visitors who find their way to this otherwise modest Basque town in ...","Jul 20, 2016 <b>...</b> The sweet scent of chocolate floats on the very breeze in Bayonne. This may surprise visitors who find their way to this otherwise modest Basque town in&nbsp;...",https://www.nationalgeographic.com/.../bayonne-france-chocolate-capital,https://www.nationalgeographic.com/.../bayonne-<b>france</b>-chocolate-<b>capital</b>,"[{'og:image': 'https://i.natgeofe.com/n/9d63c4c0-03bd-47a5-b311-ffbbff7ca56a/bayonne-france-chocolate-atelier-du-chocolat_16x9.jpg?w=1200', 'twitter:app:id:googleplay': 'com.natgeomobile.ngmagazine', 'og:image:width': '1200', 'theme-color': '#ffffff', 'twitter:card': 'summary_large_image', 'article:published_time': '06-26-2025', 'og:site_name': 'Travel', 'twitter:url': 'https://www.nationalgeographic.com/travel/article/bayonne-france-chocolate-capital', 'twitter:app:name:googleplay': 'National Geographic', 'medium': 'website', 'tax:series': 'Traveler', 'title': 'Discover the Chocolate Capital of France | National Geographic', 'twitter:app:id:iphone': '418671597', 'og:description': 'Cocoa hits all the sweet notes in this Basque town.', 'twitter:creator': '@NatGeoTravel', 'article:publisher': 'https://www.facebook.com/natgeo', 'twitter:image:alt': 'Discover the Chocolate Capital of France', 'twitter:site': '@NatGeoTravel', 'article:modified_time': '05-03-2021', 'tax:audiences': 'General', 'og:type': 'article', 'twitter:title': 'Discover the Chocolate Capital of France', 'article:section': 'Travel', 'tax:locations': 'France', 'og:title': 'Discover the Chocolate Capital of France', 'og:image:height': '675', 'tax:othersubjects': 'Basques, Chocolate', 'twitter:image:src': 'https://i.natgeofe.com/n/9d63c4c0-03bd-47a5-b311-ffbbff7ca56a/bayonne-france-chocolate-atelier-du-chocolat_16x9.jpg?w=1200', 'tax:firstsubject': 'Travel', 'referrer': 'origin', 'viewport': 'width=device-width, initial-scale=1.0, maximum-scale=2.0', 'tax:source': 'Travel', 'twitter:description': 'Cocoa hits all the sweet notes in this Basque town.', 'og:locale': 'en_US', 'guid': 'drn:src:natgeo:unison::prod:5247ce11-896a-4bce-8a9b-7e0474ecb79e', 'og:url': 'https://www.nationalgeographic.com/travel/article/bayonne-france-chocolate-capital', 'twitter:app:name:iphone': 'National Geographic'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxn2KMeLGEvGrPhpflCj0b0jQ-vR1igkveqogjZfiiVw6_PnGDsuGe13U&s', 'width': '300', 'height': '168'}]",[{'src': 'https://i.natgeofe.com/n/9d63c4c0-03bd-47a5-b311-ffbbff7ca56a/bayonne-france-chocolate-atelier-du-chocolat_16x9.jpg?w=1200'}],,,,,,,
customsearch#result,"Besides Paris, what is the capital of France? - Riddle & Answer ...","Besides Paris, <b>what is the capital of France</b>? - Riddle &amp; Answer ...",https://www.brainzilla.com/brain-teasers/riddles/Zoymb2O5/besides-paris-what-is-the-capital-of-france/,www.brainzilla.com,"Besides Paris, what is the capital of France? - Answer: F.","Besides Paris, <b>what is the capital of France</b>? - Answer: F.",https://www.brainzilla.com/.../besides-paris-what-is-the-capital-of-france/,https://www.brainzilla.com/.../besides-paris-<b>what-is-the-capital-of-france</b>/,"[{'og:image': 'https://www.brainzilla.com/media/riddles/riddles/auto/1608-besides-paris-what-is-the-capital-of-france-square.png', 'viewport': 'width=device-width, initial-scale=1, maximum-scale=1'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRx78FM1nox1pKuYGEWTXf4ZN3jmQLMXSQUkFBpC0xVr7SMJTt3sA4pIWU&s', 'width': '225', 'height': '225'}]",[{'src': 'https://www.brainzilla.com/media/riddles/riddles/auto/1608-besides-paris-what-is-the-capital-of-france-square.png'}],,,,,,,
customsearch#result,What is the capital of France? Overview of Paris,<b>What is the capital of France</b>? Overview of Paris,https://www.iroamly.com/france-travel/what-is-the-capital-of-france.html,www.iroamly.com,"Nov 28, 2024 ... Dive into the charm of Paris, the capital of France! Explore its rich history, iconic attractions, and delectable cuisine in our guide.","Nov 28, 2024 <b>...</b> Dive into the charm of Paris, the <b>capital of France</b>! Explore its rich history, iconic attractions, and delectable cuisine in our guide.",https://www.iroamly.com/france-travel/what-is-the-capital-of-france.html,https://www.iroamly.com/<b>france</b>-travel/<b>what-is-the-capital-of-france</b>.html,"[{'og:image': 'https://www.iroamly.com/images/share/iroamly-opengraph-image.png', 'og:image:width': '1200', 'og:type': 'website', 'twitter:card': 'summary', 'twitter:title': 'What is the capital of France? Overview of Paris/', 'og:site_name': 'iRoamly', 'og:title': 'What is the capital of France? Overview of Paris/', 'og:image:height': '630', 'twitter:image:height': '630', 'og:description': 'Dive into the charm of Paris, the capital of France! Explore its rich history, iconic attractions, and delectable cuisine in our guide. Click to learn more!/', 'twitter:image': 'https://www.iroamly.com/images/share/iroamly-opengraph-image.png', 'twitter:image:width': '1200', 'viewport': 'width=device-width, initial-scale=1.0', 'twitter:description': 'Dive into the charm of Paris, the capital of France! Explore its rich history, iconic attractions, and delectable cuisine in our guide. Click to learn more!/', 'og:url': 'https://www.iroamly.com/france-travel/what-is-the-capital-of-france.html'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCORX4J8ONIokrdVocrCDharWMYe1-zHauvDE3sUCqi1uHrm88kQ8bCZKx&s', 'width': '310', 'height': '163'}]",[{'src': 'https://www.iroamly.com/images/share/iroamly-opengraph-image.png'}],,,,,,,
